1420665737,Abandoned connection cleanup thread,java.lang.Object.wait(Native Method),com.mysql.jdbc.AbandonedConnectionCleanupThread.run(AbandonedConnectionCleanupThread.java:41),(a java.lang.ref.ReferenceQueue$Lock)
1420665758,hybrisHTTP4110,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4111,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4112,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4113,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4114,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665722,hybrisHTTP4116,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),,
1420665758,hybrisHTTP4116,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4117,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4119,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4120,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4123,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4126,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4128,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4131,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4133,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4135,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4136,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4137,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4139,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4140,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4142,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4143,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4144,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4145,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4146,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4148,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4151,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4154,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4156,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4157,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4158,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4159,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4161,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4162,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4163,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
